epoch,duration_output_accuracy,duration_output_loss,duration_output_top3_accuracy,loss,pitch_output_accuracy,pitch_output_loss,pitch_output_top3_accuracy,tempo_output_accuracy,tempo_output_loss,tempo_output_top3_accuracy,time_shift_output_accuracy,time_shift_output_loss,time_shift_output_top3_accuracy,type_output_accuracy,type_output_loss,type_output_top3_accuracy,val_duration_output_accuracy,val_duration_output_loss,val_duration_output_top3_accuracy,val_loss,val_pitch_output_accuracy,val_pitch_output_loss,val_pitch_output_top3_accuracy,val_tempo_output_accuracy,val_tempo_output_loss,val_tempo_output_top3_accuracy,val_time_shift_output_accuracy,val_time_shift_output_loss,val_time_shift_output_top3_accuracy,val_type_output_accuracy,val_type_output_loss,val_type_output_top3_accuracy
1,0.5870551466941833,0.990166962146759,0.947217583656311,5.075122833251953,0.09410078823566437,3.3433847427368164,0.23764032125473022,0.9763553738594055,0.07875342667102814,0.9947456121444702,0.7802722454071045,0.6201944947242737,0.9734893441200256,0.9873417615890503,0.04184756428003311,1.0,0.5849923491477966,1.1146128177642822,0.9341500997543335,8.261903762817383,0.14088821411132812,2.9501004219055176,0.34150075912475586,0.47320061922073364,3.9256882667541504,0.47320061922073364,0.8085758090019226,0.4591186046600342,0.9908116459846497,1.0,0.0024970904923975468,1.0
2,0.6410317420959473,0.8759641051292419,0.9648913145065308,4.281959533691406,0.15380941331386566,3.0144782066345215,0.34869834780693054,1.0,0.005212859716266394,1.0,0.855027437210083,0.3640397787094116,0.9959397912025452,0.9957009553909302,0.022175578400492668,1.0,0.621745765209198,0.9948937296867371,0.9509953856468201,8.204262733459473,0.1653905063867569,2.783552646636963,0.4027565121650696,0.47320061922073364,4.260701656341553,0.47320061922073364,0.8820827007293701,0.29621756076812744,0.9908116459846497,1.0,0.0029699516016989946,1.0
3,0.6825889945030212,0.803408682346344,0.9742058515548706,3.867530584335327,0.19058991968631744,2.789241075515747,0.4203487038612366,0.999761164188385,0.0047304825857281685,1.0,0.9073322415351868,0.25111833214759827,0.9985669851303101,0.9952232837677002,0.018969865515828133,1.0,0.6738131642341614,0.8961644172668457,0.9709035158157349,8.395790100097656,0.21592649817466736,2.6732163429260254,0.4486983120441437,0.47320061922073364,4.763603210449219,0.482388973236084,0.9264931082725525,0.2016461044549942,0.9954057931900024,1.0,0.005094670690596104,1.0
4,0.704800546169281,0.7445887327194214,0.9792214035987854,3.486393451690674,0.24743252992630005,2.5341293811798096,0.502507746219635,0.999283492565155,0.005910998210310936,1.0,0.9393360614776611,0.18576361238956451,0.9980893135070801,0.9966562986373901,0.015841983258724213,1.0,0.6707503795623779,0.8962048888206482,0.9693721532821655,8.384721755981445,0.23736600577831268,2.6169655323028564,0.45941805839538574,0.47320061922073364,4.829493999481201,0.47320061922073364,0.9295558929443359,0.17807435989379883,1.0,1.0,0.0065507348626852036,1.0
5,0.7219966650009155,0.7078791260719299,0.9830427765846252,3.196157932281494,0.2954382598400116,2.3183224201202393,0.5760687589645386,1.0,0.003311221720650792,1.0,0.947217583656311,0.1517859399318695,0.99904465675354,0.9957009553909302,0.014848519116640091,1.0,0.6661561727523804,0.8686509728431702,0.9632465839385986,8.60672378540039,0.2388973981142044,2.487151622772217,0.5313935875892639,0.47320061922073364,5.234006404876709,0.4900459349155426,0.9418070316314697,0.17251501977443695,1.0,0.9984685778617859,0.005822747014462948,1.0
6,0.74564129114151,0.661100447177887,0.9842368960380554,2.901261568069458,0.35395270586013794,2.1102042198181152,0.6434201002120972,0.999761164188385,0.002835612278431654,1.0,0.9620253443717957,0.11344954371452332,0.999761164188385,0.9959397912025452,0.013517498038709164,1.0,0.6799387335777283,0.8985047340393066,0.9709035158157349,9.136380195617676,0.26186829805374146,2.4781734943389893,0.5313935875892639,0.47320061922073364,5.723892688751221,0.560490071773529,0.9249616861343384,0.2114124596118927,1.0,0.9984685778617859,0.004145145881921053,1.0
7,0.7575830221176147,0.618393063545227,0.9882971048355103,2.6556899547576904,0.40339145064353943,1.9258900880813599,0.6942918300628662,0.99952232837677,0.0030457398388534784,1.0,0.9668020009994507,0.09720636904239655,0.999283492565155,0.9966562986373901,0.011157747358083725,1.0,0.6891270875930786,0.954007625579834,0.9632465839385986,9.07107162475586,0.23430322110652924,2.5160815715789795,0.5589586496353149,0.47320061922073364,5.6020708084106445,0.49923428893089294,0.93108731508255,0.2026366889476776,1.0,1.0,0.0034219026565551758,1.0
8,0.7690470218658447,0.5808900594711304,0.9892524480819702,2.43985915184021,0.450919508934021,1.7699068784713745,0.7370432019233704,0.999761164188385,0.0023015099577605724,1.0,0.9730117321014404,0.07736603915691376,1.0,0.9971339702606201,0.00928028579801321,1.0,0.6768759489059448,0.960655689239502,0.9693721532821655,8.810269355773926,0.24961714446544647,2.5476129055023193,0.5513016581535339,0.47320061922073364,5.303357124328613,0.4839203655719757,0.9326186776161194,0.2015926092863083,1.0,1.0,0.0028429103549569845,1.0
9,0.7893480062484741,0.5345578193664551,0.9904466271400452,2.207498550415039,0.5122999548912048,1.6001895666122437,0.7797945737838745,0.99952232837677,0.002111344365403056,1.0,0.9773107171058655,0.06298289448022842,1.0,0.9973728060722351,0.007628748193383217,1.0,0.6875957250595093,0.987057626247406,0.9663093686103821,9.534192085266113,0.2312404215335846,2.6588127613067627,0.5267993807792664,0.47320061922073364,5.874295234680176,0.5022971034049988,0.9387442469596863,0.20398685336112976,1.0,1.0,0.0029078659135848284,1.0
10,0.8008120656013489,0.5027640461921692,0.9921184778213501,2.0295567512512207,0.5450202822685242,1.4649780988693237,0.804394543170929,0.999761164188385,0.0019069630652666092,1.0,0.9844757318496704,0.05315662547945976,0.999761164188385,0.9978504776954651,0.0068106381222605705,1.0,0.6462481021881104,1.0158571004867554,0.9586523771286011,10.237422943115234,0.24655435979366302,2.681795597076416,0.5558958649635315,0.47320061922073364,6.539112567901611,0.5130168199539185,0.9418070316314697,0.21059568226337433,1.0,1.0,0.00405481830239296,1.0
