epoch,duration_output_accuracy,duration_output_loss,duration_output_top3_accuracy,loss,pitch_output_accuracy,pitch_output_loss,pitch_output_top3_accuracy,tempo_output_accuracy,tempo_output_loss,tempo_output_top3_accuracy,time_shift_output_accuracy,time_shift_output_loss,time_shift_output_top3_accuracy,type_output_accuracy,type_output_loss,type_output_top3_accuracy,val_duration_output_accuracy,val_duration_output_loss,val_duration_output_top3_accuracy,val_loss,val_pitch_output_accuracy,val_pitch_output_loss,val_pitch_output_top3_accuracy,val_tempo_output_accuracy,val_tempo_output_loss,val_tempo_output_top3_accuracy,val_time_shift_output_accuracy,val_time_shift_output_loss,val_time_shift_output_top3_accuracy,val_type_output_accuracy,val_type_output_loss,val_type_output_top3_accuracy
1,0.5549212098121643,1.147395133972168,0.9442794919013977,6.198850154876709,0.07102078199386597,3.507943630218506,0.2096368968486786,0.8942680954933167,0.34264686703681946,0.9915505647659302,0.6636218428611755,1.0671430826187134,0.9438228011131287,0.9810459017753601,0.1281435340642929,1.0,0.5805022120475769,1.0169211626052856,0.9394387006759644,7.875229358673096,0.09748892486095428,3.2024612426757812,0.208271786570549,0.4741506576538086,2.9451181888580322,0.4741506576538086,0.6499261260032654,0.8386833667755127,0.9689807891845703,1.0,0.00420347647741437,1.0
2,0.6220598220825195,0.9117375612258911,0.9554693102836609,4.932877540588379,0.09134505689144135,3.3652143478393555,0.23247316479682922,0.9993149042129517,0.014019081369042397,1.0,0.7656999230384827,0.6176212430000305,0.9810459017753601,0.9952043890953064,0.02464563585817814,1.0,0.5878877639770508,1.0156782865524292,0.9394387006759644,7.711608409881592,0.09896602481603622,3.1237189769744873,0.2540620267391205,0.4741506576538086,3.1922807693481445,0.4741506576538086,0.8316100239753723,0.5182449817657471,0.9748892188072205,1.0,0.00410511065274477,1.0
3,0.6522036790847778,0.8622239232063293,0.9593514204025269,4.504341125488281,0.11737839877605438,3.2292447090148926,0.2829413115978241,0.9993149042129517,0.009812263771891594,1.0,0.8748572468757629,0.3807828724384308,0.9949760437011719,0.9954327344894409,0.02358335256576538,1.0,0.6262924671173096,0.9806733727455139,0.9320531487464905,7.356768608093262,0.15361890196800232,2.991079092025757,0.3751846253871918,0.4741506576538086,3.106070041656494,0.4741506576538086,0.8581979274749756,0.4168452322483063,0.9867060780525208,1.0,0.0041459244675934315,1.0
4,0.6812057495117188,0.8194268345832825,0.9643754363059998,4.2154130935668945,0.1527746021747589,3.0682880878448486,0.34916648268699646,1.0,0.007336365059018135,1.0,0.902945876121521,0.29926249384880066,0.9961178302764893,0.9954327344894409,0.022386442869901657,1.0,0.630723774433136,0.9621424078941345,0.9335302710533142,7.206892967224121,0.20531757175922394,2.8724260330200195,0.4194977879524231,0.4741506576538086,3.1554114818573,0.4741506576538086,0.8862629532814026,0.35863420367240906,0.9911373853683472,1.0,0.004373964853584766,1.0
5,0.6962776780128479,0.7877771258354187,0.9671157598495483,3.974912643432617,0.18406029045581818,2.9128565788269043,0.3978077173233032,1.0,0.006497160531580448,1.0,0.9203014373779297,0.24850758910179138,0.9974880218505859,0.9952043890953064,0.02072657272219658,1.0,0.6174298524856567,0.9471506476402283,0.9335302710533142,7.175787925720215,0.21861152350902557,2.7735326290130615,0.4431314766407013,0.4741506576538086,3.289764404296875,0.4741506576538086,0.9010339975357056,0.30951929092407227,0.9911373853683472,1.0,0.004765064921230078,1.0
6,0.7056405544281006,0.7625371217727661,0.9712263345718384,3.767420768737793,0.21740123629570007,2.7688426971435547,0.4532998502254486,1.0,0.006339344196021557,1.0,0.9326330423355103,0.21199728548526764,0.9986298084259033,0.9954327344894409,0.019059980288147926,1.0,0.6262924671173096,0.9359284043312073,0.9335302710533142,7.253102779388428,0.23042836785316467,2.688748836517334,0.4711964428424835,0.4741506576538086,3.5055010318756104,0.4741506576538086,0.9025110602378845,0.27182435989379883,0.9940915703773499,1.0,0.005985243711620569,1.0
7,0.7184288501739502,0.738165020942688,0.9751084446907043,3.588545322418213,0.2464032918214798,2.6414904594421387,0.4941767454147339,1.0,0.005919107235968113,1.0,0.9413108229637146,0.18646997213363647,0.9990865588188171,0.9954327344894409,0.01742558740079403,1.0,0.630723774433136,0.9203210473060608,0.9379615783691406,7.267890930175781,0.2540620267391205,2.613727331161499,0.508124053478241,0.4741506576538086,3.640077829360962,0.4741506576538086,0.9172821044921875,0.24362415075302124,0.9940915703773499,1.0,0.006750821601599455,1.0
8,0.7280200719833374,0.7149578332901001,0.9789906144142151,3.428243398666382,0.2735784351825714,2.524935245513916,0.5318565964698792,1.0,0.005109182093292475,1.0,0.9470198750495911,0.16767388582229614,0.9990865588188171,0.9956611394882202,0.01599186658859253,1.0,0.6543574333190918,0.9057818055152893,0.9438700079917908,7.249728679656982,0.2791728079319,2.5462706089019775,0.5391432642936707,0.4741506576538086,3.721541404724121,0.4830133020877838,0.9246676564216614,0.22688493132591248,0.9940915703773499,1.0,0.006793630309402943,1.0
9,0.7378396987915039,0.6921266317367554,0.9805891513824463,3.2804036140441895,0.29824161529541016,2.4166018962860107,0.5711349844932556,1.0,0.004406180698424578,1.0,0.9520438313484192,0.15231508016586304,0.9990865588188171,0.9961178302764893,0.014746013097465038,1.0,0.658788800239563,0.8998022675514221,0.9468242526054382,7.211343765258789,0.2939438819885254,2.490117073059082,0.5465288162231445,0.4741506576538086,3.758450984954834,0.4830133020877838,0.9246676564216614,0.21507292985916138,0.9940915703773499,1.0,0.00609606085345149,1.0
10,0.7433204054832458,0.6703556180000305,0.9810459017753601,3.144087076187134,0.32998400926589966,2.316049098968506,0.5973966717720032,1.0,0.003891188185662031,1.0,0.9563827514648438,0.1394011676311493,0.9990865588188171,0.9965745806694031,0.013485453091561794,1.0,0.6543574333190918,0.8979764580726624,0.9542097449302673,7.196245193481445,0.29985228180885315,2.4425268173217773,0.5494830012321472,0.4741506576538086,3.802424430847168,0.4830133020877838,0.9276218414306641,0.2077917456626892,0.9940915703773499,1.0,0.005789472255855799,1.0
11,0.7542818188667297,0.649440348148346,0.9821876883506775,3.0153536796569824,0.35967114567756653,2.2206313610076904,0.6270838379859924,1.0,0.003719944506883621,1.0,0.9607216119766235,0.12787923216819763,0.9990865588188171,0.9968029260635376,0.0121103934943676,1.0,0.6691285371780396,0.8978978991508484,0.9512555599212646,7.199388027191162,0.2983751893043518,2.404823064804077,0.5539143085479736,0.4741506576538086,3.8515031337738037,0.4830133020877838,0.9320531487464905,0.201843723654747,0.9940915703773499,1.0,0.005705039016902447,1.0
